username,source_type,source_file,posts,followers,follower_segment,avg_likes,avg_comments,categories,top_hashtags,account_type,account_confidence,creator_score,business_score,media_score
1gezi_1kahve,profile_scrape,scrape_1776936742.json,12,12125.0,micro,1393.0,27.83,yemek_mutfak,"keşfet,kaydetkesfeteduselim🙏🏻✔️🙏🏻⃣*⃣⃣*⃣⃣*⃣⃣*⃣⃣*⃣⃣*⃣⃣*⃣⃣*⃣⃣*⃣⃣*⃣⃣,keşfetteyiz,fyp,kesfet,kahvesunumları,keşfetteyim,keşfetteyizzz,keşfetedüş,kahvekeyfi",creator,0.83,1.4,0.0,0.0
7.taetae,profile_scrape,scrape_1776937431.json,12,7165.0,nano,9.25,2.08,"ev_yasam,egitim_kariyer","공스타,공스타그램,공시생,study,studygram",creator,0.77,1.1,0.0,0.0
__m_arco____._,profile_scrape,scrape_1776937431.json,12,976.0,nano,52.58,51.0,"otomotiv,moda_yasam,anne_bebek","explore,like,instagram,love,instagood,life,trending,style,viral,photography",creator,0.83,1.4,0.0,0.0
_echec_et_maths_,profile_scrape,scrape_1776868866.json,6,29923.0,micro,40.0,1.5,"ev_yasam,egitim_kariyer","physique,logarithme,formule,maths,tips,science,synthese,reussir,studygram,mathlovers",creator,0.77,1.1,0.3,0.0
aajjmale_,profile_scrape,scrape_1776872304.json,6,373.0,nano,113.0,1.67,"yemek_mutfak,ev_yasam,dekorasyon_mobilya","selflove❤️,womenempowerment,selfrespect,confidence,bollywoodmovie,food,foodie,homelyfood,home,comfortfood",creator,0.83,1.4,0.0,0.0
afacankirtasiye19,profile_scrape,scrape_1776868866.json,6,74.0,nano,3.0,0.0,"oyuncak_hobi,ev_yasam","keşfetteyim,fyp,kirtasiye,keşfet,corum,toys,keşfetteyizzz,toy,bubbles,bubbler",creator,0.75,1.0,0.0,0.0
ahmetbulentcanli,profile_scrape,scrape_1776936742.json,12,95.0,nano,2.08,0.0,egitim_kariyer,"yks,başakşehir,lgs,basaksehir,üniversitehazırlık,ykshazırlık,lisehazırlık,yks2026,lgs2026,tyt",creator,0.83,1.4,0.0,0.0
akash_singha_12,profile_scrape,scrape_1776937431.json,12,2458.0,nano,233.75,59.58,"finans_is,seyahat_gezi","assam,fypシ❤️💞❤️,likeback,supportmefrnds❤️__________________follow,zubeengarg,ａｓｔｈｅｔｉｃ,instamood,anand,duyf,dibrugarhuniversity",creator,0.75,1.0,0.0,0.0
alexadcloset,profile_scrape,scrape_1776872304.json,12,47802.0,micro,4889.5,14.08,guzellik_kozmetik,"alexademie,alexademiecloset,alexademieedit,alexademiemakeup,euphoria",creator,0.83,1.4,0.0,0.0
aliwahxz,profile_scrape,scrape_1776869777.json,2,4004.0,nano,278.5,40.0,finans_is,"hto,leads,money,business,personalbranding",creator,0.75,1.0,0.0,0.0
