username,source_type,source_file,posts,followers,follower_segment,avg_likes,avg_comments,categories,top_hashtags
1gezi_1kahve,hashtag_discovery,"hashtag_yapayzeka_1776869182.json,hashtag_yapayzeka_1776872533.json",2,,unknown,234.0,1.0,yemek_mutfak,"kahve,keşfet,keşfetteyim,keşfetteyiz,yapayzeka"
1hukukevreni,hashtag_discovery,hashtag_kamp_1778257111.json,1,,unknown,138.0,0.0,kitap_kultur,"genç,gsb,kamp,kitap,vizyon"
7.taetae,hashtag_discovery,"hashtag_studygram_1776873203.json,hashtag_studygram_1776873207.json",2,,unknown,0.0,1.0,"ev_yasam,egitim_kariyer","study,studygram,공스타,공스타그램,공시생"
___gadget_house__,hashtag_discovery,"hashtag_gadget_1776872458.json,hashtag_gadget_1776873224.json",6,,unknown,2.67,0.0,teknoloji,"gadget,gadgets,smartgadget,tech,technology"
abdullah_kara01.10,hashtag_discovery,"hashtag_yatirim_1776872655.json,hashtag_yatirim_1776873187.json,hashtag_yatirim_1778257971.json",12,,unknown,0.0,0.0,genel,"yatirim,bandırma,arsa,emlak,erdek,biga,bungalow,erdekocaklar,gayrimenkül,istanbul"
actioncatalystpodcast,hashtag_discovery,"hashtag_career_1776789851.json,hashtag_tech_1776788790.json",2,,unknown,2.0,2.0,"egitim_kariyer,otomotiv,guzellik_kozmetik","AI,author,business,career,coaching,education,faith,kids,leadership,mindset"
ahmetbulentcanli,hashtag_discovery,"hashtag_sinav_1776789820.json,hashtag_sinav_1776873235.json,hashtag_sinav_1776873236.json",3,,unknown,0.0,0.0,egitim_kariyer,"basaksehir,sinav,sinavcomtr,tyt,yks"
ahmetcadircicom,hashtag_discovery,"hashtag_yapayzeka_1776869182.json,hashtag_yapayzeka_1776872533.json,hashtag_yazilim_1776873316.json,hashtag_yazilim_1776873317.json",4,,unknown,0.0,0.0,"guzellik_kozmetik,teknoloji,otomotiv","ai,llm,rag,scraping,teknoloji,yapayzeka,yazilim"
ahmetongun32,hashtag_discovery,"hashtag_kedi_1776873158.json,hashtag_kedi_1776873377.json",6,,unknown,0.33,0.0,genel,"1kapmama1kapsu,1kapsu1kapmama,kedi,kediler,sokakhayvanlarısahipsizdeğil"
ailemizgulsun,hashtag_discovery,"hashtag_hamilelik_1776869198.json,hashtag_hamilelik_1776872753.json,hashtag_hamilelik_1776873169.json",6,,unknown,0.0,1.0,genel,"ebeveynlik,hamilelik,aileplanlaması,anneadayları,bebeğingelişimi,gebelik,öncesi,planlama,rehber,sağlık"
aim30turkiye,hashtag_discovery,"hashtag_kedi_1776873158.json,hashtag_kedi_1776873377.json",2,,unknown,3.0,1.0,"evcil_hayvan,fitness_saglik,egitim_kariyer","aim30turkiye,cat,cathealth,kedi,keditakviye"
akash_singha_12,hashtag_discovery,"hashtag_business_1776872583.json,hashtag_business_1776873134.json,hashtag_startup_1776872592.json,hashtag_startup_1776873144.json",4,,unknown,0.0,0.0,finans_is,"business,growingup,likeback,stall,startup"
akmese.onur,hashtag_discovery,"hashtag_sinav_1776789820.json,hashtag_sinav_1776873235.json,hashtag_sinav_1776873236.json",3,,unknown,91.33,2.67,genel,"atatürkçülük,çalışma,derscalisma,dersnotları,egitim,egitimmateryalleri,etkinlik,inkılaptarihi,lgs,lgs2026"
altintaskirtasiye,hashtag_discovery,hashtag_kirtasiye_1776788857.json,8,,unknown,2.88,0.0,"ev_yasam,oyuncak_hobi","bricks,eğlence,kirtasiye,lego,oyuncak"
altstudio3d,hashtag_discovery,"hashtag_kopek_1776869332.json,hashtag_kopek_1776873174.json",2,,unknown,16.0,0.0,genel,"3d,3dprint,fyp,kalemlik,kopek"
ana_fikirler,hashtag_discovery,"hashtag_annelik_1776872742.json,hashtag_annelik_1776873154.json",2,,unknown,10.0,3.0,genel,"23nisan100yaşında🇹🇷,23nisankutluolsun🇹🇷,annelik,cocukbayrami"
anaokuludenizkizi,hashtag_discovery,"hashtag_kahvalti_1776869250.json,hashtag_kahvalti_1776872911.json",4,,unknown,20.25,0.0,genel,"KAHVALTI,KAN,OKUL,ÖGRENME,🥛ÇOCUKLAR"
ankmedipolybs,hashtag_discovery,"hashtag_teknoloji_1776872432.json,hashtag_teknoloji_1776873204.json,hashtag_yapayzeka_1776873290.json",3,,unknown,13.0,0.0,teknoloji,"ankaramedipolüniversitesi,girişimcilik,teknoloji,yapayzeka,yönetimbilişimsistemleri"
annelikruhumda_,hashtag_discovery,"hashtag_annebebek_1776872675.json,hashtag_annebebek_1776873115.json",2,,unknown,0.0,1.0,anne_bebek,"aile,annebebek,anneyiz,evlat"
anneolmayolunda,hashtag_discovery,"hashtag_hamilelik_1776869198.json,hashtag_hamilelik_1776872753.json,hashtag_hamilelik_1776873169.json",3,,unknown,1.0,0.0,anne_bebek,"annelik,anneolmak,bebek,gebelik,hamilelik"
anneoluyoruz,hashtag_discovery,"hashtag_hamilelik_1776869198.json,hashtag_hamilelik_1776872753.json,hashtag_hamilelik_1776873169.json",3,,unknown,0.0,0.0,anne_bebek,"amh,bebek,hamilegünlüğü,hamilelik,keskedahaöncebilseydim"
annevebebek2025,hashtag_discovery,hashtag_annelik_1776788669.json,1,,unknown,157.0,1.0,anne_bebek,"annelik,annevebebek,bebek,gebelik,hamilelik"
anodos.patra,hashtag_discovery,"hashtag_organization_1776788928.json,hashtag_studygram_1776788877.json,hashtag_studygram_1776789789.json",3,,unknown,0.0,0.0,"ev_yasam,egitim_kariyer","AnodosLearning,ExamPrep,Organization,StudentProblems,StudyGram,StudyVibes"
antikmuzayedicilik,hashtag_discovery,hashtag_dekor_1778257449.json,2,,unknown,0.5,1.0,dekorasyon_mobilya,"dekor,koleksiyon,çan,karnaval,maske,okul,teneffüs,Venedik"
aplininc,hashtag_discovery,"hashtag_business_1776872583.json,hashtag_business_1776873134.json",2,,unknown,0.0,1.0,genel,"AdministrativeProfessionalsDay,AplinTeam,Teamwork,ThankYou,WorkplaceExcellence"
appleinsiderturkiye,hashtag_discovery,"hashtag_akillisaat_1776869168.json,hashtag_akillisaat_1776872505.json,hashtag_akillisaat_1776873265.json,hashtag_kulaklik_1778257570.json",7,,unknown,54.86,8.29,genel,"apple,applehaber,appleinsider,appleinsiderturkiye,appleinsidertürkiye,applenews,haber,news,akıllısaat,akillisaat"
appleshops_7001_mumbai_,hashtag_discovery,hashtag_smartphone_1776788836.json,6,,unknown,0.0,0.0,teknoloji,"happycustomer,ordernow‼️,smartphone,virel,indiareels,indiareels⭐️instatrending"
asliglbaz,hashtag_discovery,"hashtag_annebebek_1776872675.json,hashtag_annebebek_1776873115.json,hashtag_tarif_1776872812.json",3,,unknown,18.0,4.0,"anne_bebek,yemek_mutfak","annebebek,bebeklihayat,ekgıda,mutfak,tarif"
asralfotografcilik,hashtag_discovery,"hashtag_annelik_1776872742.json,hashtag_annelik_1776873154.json,hashtag_hamilelik_1776869198.json,hashtag_hamilelik_1776872753.json,hashtag_hamilelik_1776873169.json",5,,unknown,9.6,0.0,genel,"annelik,anneolmak,hamilelik,kadıngücü,maternityshoot"
atolyebahar,hashtag_discovery,"hashtag_yenidogan_1776872766.json,hashtag_yenidogan_1776873179.json",2,,unknown,25.0,0.0,evcil_hayvan,"bernina,nakışlıkese,singer,yenidogan"
auraprintworks,hashtag_discovery,hashtag_dekor_1778257449.json,3,,unknown,1.0,0.0,dekorasyon_mobilya,"dekor,keşfetteyim,türkiye,viral,kesfet,keşfetteyizzz"
avm.sepetim,hashtag_discovery,"hashtag_kulaklik_1776872523.json,hashtag_kulaklik_1776873276.json",2,,unknown,15.0,2.0,evcil_hayvan,"avmsepetim,beyaz,bluetooth,kulaklik,shoplife"
ayanciksahaf,hashtag_discovery,hashtag_kitap_1778257269.json,3,,unknown,0.0,0.0,kitap_kultur,"#ikincielkitap,baskısıolmayankitaplar,kitap,kitapsatışı,albertomoravia,bekiryıldız,franzgrillparzer"
ayasofyavm,hashtag_discovery,"hashtag_mutfak_1776788723.json,hashtag_mutfak_1776872838.json",4,,unknown,2.25,0.0,yemek_mutfak,"AyasofyaAVM,FırsatÜrün,Keşfet,Mutfak,Sunum,Pişirme,Pratik"
ayda_atolye,hashtag_discovery,"hashtag_yenidogan_1776872766.json,hashtag_yenidogan_1776873179.json",2,,unknown,34.0,0.0,"evcil_hayvan,oyuncak_hobi","amigurumi,babygift,yenidogan,yenidoganhediyeseti"
ayteninmetbexi_,hashtag_discovery,"hashtag_kahvalti_1776869250.json,hashtag_kahvalti_1776872911.json",2,,unknown,46.5,17.5,genel,"kahvalti,kahvaltıtabağı,seheryemeyi,sunumönemli"
azero_inseng,hashtag_discovery,"hashtag_studygram_1776873203.json,hashtag_studygram_1776873207.json",4,,unknown,7.5,4.0,genel,"JLPT,공스타그램,약한영웅,일본어공부,일본어능력시험"
babixkids,hashtag_discovery,"hashtag_bebek_1776872693.json,hashtag_bebek_1776873125.json",10,,unknown,1.4,0.0,"moda_yasam,anne_bebek","bebek,çocukgiyim,kesfetteyiz,keşfet,siirt"
babylabstudio,hashtag_discovery,"hashtag_hamilelik_1776869198.json,hashtag_hamilelik_1776872753.json,hashtag_hamilelik_1776873169.json",3,,unknown,7.0,1.0,otomotiv,"babyontheway,hamilelik,ikizgebelik,maternityphotography,twins"
bala_tech_0007,hashtag_discovery,"hashtag_tech_1776872443.json,hashtag_tech_1776873214.json",2,,unknown,29.0,6.0,teknoloji,"hosur,tech,trendingnow"
bastionhotelscom,hashtag_discovery,"hashtag_boardgame_1776869288.json,hashtag_boardgame_1776873046.json",2,,unknown,6.0,2.0,genel,
baytunagrup,hashtag_discovery,"hashtag_teknoloji_1776872432.json,hashtag_teknoloji_1776873204.json",6,,unknown,5.0,0.0,genel,"BaytunaGroup,EndüstrideGüç,Gelecek,GlobalVizyon,İnovasyon,Kalite,Kurumsal,Mühendislik,SağlıktaGüven,Sanayi"
bdyuluslararasigida,hashtag_discovery,"hashtag_tatli_1776869230.json,hashtag_tatli_1776872890.json",10,,unknown,0.2,0.0,yemek_mutfak,"bdycakes,bdyendustriyelmutfak,bdykruvasan,bdypizza,bdyuluslararasigida,cafelericin,cheesecake,coffee,dessert,donukpasta"
bebegim.icin7,hashtag_discovery,"hashtag_hamilelik_1776869198.json,hashtag_hamilelik_1776872753.json,hashtag_hamilelik_1776873169.json",3,,unknown,2.0,0.0,anne_bebek,"annevebebek,bebek,bebekgeliyor,hamilelik,keşfet"
bebekvari,hashtag_discovery,"hashtag_hamilelik_1776869198.json,hashtag_hamilelik_1776872753.json,hashtag_hamilelik_1776873169.json",3,,unknown,6.0,0.0,genel,"anneoluncaanladim,hamilelik,keşfetteyim"
bee.artisan.qc,hashtag_discovery,hashtag_diy_1776789688.json,10,,unknown,0.0,0.1,"oyuncak_hobi,finans_is","diy,etsy,etsyshop,handmade,handmadecrafts,madewithlove,shopsmall,supportsmallbusiness,BeeArtisanQC,crafts"
begumle_turkce,hashtag_discovery,"hashtag_yks_1776789839.json,hashtag_yks_1776873252.json,hashtag_yks_1776873258.json",3,,unknown,5.0,0.67,kitap_kultur,"yks,ayt,aytedebiyat,edebiyat,ösym,dgs,kpss,lgs,tyt"
beko_kayaoglu,hashtag_discovery,hashtag_mutfak_1776788723.json,1,,unknown,290.0,0.0,yemek_mutfak,"beko,bekokayaoğlu,fırsat,indirim,inegöl,kahvemakinesi,kampanya,mutfak,türkkahvesi"
bela._.aura,hashtag_discovery,"hashtag_serum_1776787935.json,hashtag_serum_1776788341.json,hashtag_serum_1778257713.json",3,,unknown,0.33,0.0,"guzellik_kozmetik,otomotiv","serum,makeup,maxlove,mulheres,peleuniforme,carinho,cuidedevocê,pelesaudavel,redutordeporos"
bellagelateria.isiklar,hashtag_discovery,"hashtag_tatli_1776869230.json,hashtag_tatli_1776872890.json",2,,unknown,10.0,0.0,genel,"antalyatatlı,antalyaturkey,isiklar,tatli,tatlıkeyfi"
bergamabutikegitim,hashtag_discovery,"hashtag_lgs_1776873299.json,hashtag_lgs_1776873302.json,hashtag_yks_1776873252.json,hashtag_yks_1776873258.json",4,,unknown,2.75,0.0,egitim_kariyer,"denemetaktikleri,eğitim,lgs,sınavhazırlık,yks"
besikduzuvodafoneeysmcenter,hashtag_discovery,hashtag_kulaklik_1778257570.json,1,,unknown,101.0,270.0,genel,"bahargeldi,cekiliş,kampanya,kulaklik,powerbank"
beyora.tr,hashtag_discovery,"hashtag_annelik_1776872742.json,hashtag_annelik_1776873154.json",2,,unknown,18.0,0.0,moda_yasam,"anneadayları,annelik,beyora,hamilegiyim,hamiletaytı"
beyzadeecicek,hashtag_discovery,"hashtag_bebek_1776872693.json,hashtag_bebek_1776873125.json",4,,unknown,7.0,0.0,anne_bebek,"bebek,fypppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,keşfetteyim,hoşgeldin,kutuluçiçek"
bi_giysi,hashtag_discovery,"hashtag_bebekgiyim_1776869212.json,hashtag_bebekgiyim_1776872776.json,hashtag_bebekgiyim_1776873194.json",3,,unknown,0.0,0.0,"moda_yasam,anne_bebek","bebekgiyim,cocukgiyim,çocukgiyim,erkekçocukgiyim,kızçocukgiyim"
bilicidanismanlik,hashtag_discovery,"hashtag_sinav_1776789820.json,hashtag_sinav_1776873235.json,hashtag_sinav_1776873236.json",3,,unknown,2.0,0.0,egitim_kariyer,"eğitim,keşfetteyim,motivasyon,sinav"
bilkentalks,hashtag_discovery,"hashtag_girisim_1776872627.json,hashtag_girisim_1776873167.json",2,,unknown,30.0,6.0,finans_is,"bilkent,girisim,inovasyon,networking,startup"
bionj_org,hashtag_discovery,"hashtag_career_1776789851.json,hashtag_career_1776873268.json,hashtag_career_1776873269.json",3,,unknown,0.33,0.0,"egitim_kariyer,otomotiv,taki_aksesuar","apply,BioNJ’s,career,hiring,jobalert,lifesciencejobs,NJJobs,njjobs,resume"
birazannebirazkaos,hashtag_discovery,"hashtag_hamilelik_1776869198.json,hashtag_hamilelik_1776872753.json,hashtag_hamilelik_1776873169.json",3,,unknown,7.0,3.0,anne_bebek,"annelik,bebek,hamilelik,kesfetteyiz🙏🏻,yenianne"
bloggwithmom,hashtag_discovery,"hashtag_yenidogan_1776872766.json,hashtag_yenidogan_1776873179.json",2,,unknown,15.0,1.0,"evcil_hayvan,anne_bebek","erkekbebek,yenidogan,yenidogançekimi"
blueapegames,hashtag_discovery,"hashtag_boardgame_1776869288.json,hashtag_boardgame_1776873046.json",2,,unknown,11.0,1.0,"oyun_espor,oyuncak_hobi,teknoloji","bgg,bggcommunity,boardgame,boardgamegeek,boardgamenight,boardgamer,boardgames,boardgaming,tabletop,tabletopgames"
boardgameteacher,hashtag_discovery,"hashtag_boardgame_1776869288.json,hashtag_boardgame_1776873046.json",2,,unknown,24.5,0.5,"oyuncak_hobi,oyun_espor,otomotiv","boardgame,boardgames,boardgamesphotography"
bonbon.balon,hashtag_discovery,"hashtag_yenidogan_1776872766.json,hashtag_yenidogan_1776873179.json",2,,unknown,17.0,2.0,evcil_hayvan,"boboballoon,boboballoons,bobobalon,kesfet,yenidogan"
borsagundemtr,hashtag_discovery,"hashtag_borsa_1776872639.json,hashtag_borsa_1776873177.json",4,,unknown,0.0,0.0,genel,"borsa,bist100,viop"
brettstewarttx,hashtag_discovery,hashtag_investing_1776789978.json,4,,unknown,0.75,0.0,"ev_yasam,finans_is","Abilene,financialsuccess,Fortworth,investing,joehomebuyer,mindset,realestateinvestment,realestatesuccess,Weatherford,Westtexas"
brtechs,hashtag_discovery,"hashtag_akillisaat_1776869168.json,hashtag_akillisaat_1776872505.json,hashtag_akillisaat_1776873265.json,hashtag_akillisaat_1778257554.json",21,,unknown,163.67,0.67,genel,"akıllısaat,akillisaat,akıllısaatler,akıllısaatmodelleri"
brtechs1,hashtag_discovery,"hashtag_akillisaat_1776869168.json,hashtag_akillisaat_1776872505.json,hashtag_akillisaat_1776873265.json,hashtag_akillisaat_1778257554.json",10,,unknown,5.4,0.0,genel,"akıllısaat,akillisaat,akıllısaatler"
buglemce_orguler,hashtag_discovery,"hashtag_yenidogan_1776872766.json,hashtag_yenidogan_1776873179.json",2,,unknown,0.0,37.0,anne_bebek,"bebekbattaniyesi,bebekceyizi,bebekpatik,bebeksapkasi,bebekyelek"
businessdayng,hashtag_discovery,"hashtag_business_1778257887.json,hashtag_economy_1776790021.json,hashtag_economy_1778257922.json,hashtag_finance_1776789957.json",4,,unknown,0.0,0.0,finans_is,"businessday,nigeria,economy,business,finance,tinubu"
buythetechtr,hashtag_discovery,hashtag_kulaklik_1778257570.json,1,,unknown,188.0,1.0,genel,"bluetoothkulaklik,kulaklik,kulaklık"
cagbebe,hashtag_discovery,"hashtag_bebekgiyim_1776869212.json,hashtag_bebekgiyim_1776872776.json",4,,unknown,1.5,0.0,"moda_yasam,anne_bebek","23nisan,bebekgiyim,çocukgiyimmagaza,elbise,kotpantolon,zıbın"
cakirtrmotors,hashtag_discovery,hashtag_otomotiv_1776789885.json,3,,unknown,9.67,0.0,otomotiv,"ikinciel,otomotiv,sahibinden,bayon,hyundai,kia,nissan,picanto,qashqai"
