username,degree,weighted_degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,primary_category,categories,follower_segment,followers,avg_likes,avg_comments
1gezi_1kahve,41,25.5675,0.121662,0.00487,0.143117,0.113267,0.003828,yemek_mutfak,yemek_mutfak,micro,12125.0,1393.0,27.83
7.taetae,38,22.666,0.11276,4.7e-05,0.141908,0.040615,0.003556,ev_yasam,"ev_yasam,egitim_kariyer",nano,7165.0,9.25,2.08
__m_arco____._,38,15.9233,0.11276,0.024401,0.155836,0.012125,0.003319,otomotiv,"otomotiv,moda_yasam,anne_bebek",nano,976.0,52.58,51.0
_echec_et_maths_,38,22.4211,0.11276,4.7e-05,0.141691,0.040221,0.003522,ev_yasam,"ev_yasam,egitim_kariyer",micro,29923.0,40.0,1.5
aajjmale_,6,2.4161,0.017804,0.008616,0.115883,0.000305,0.001691,yemek_mutfak,"yemek_mutfak,ev_yasam,dekorasyon_mobilya",nano,373.0,113.0,1.67
afacankirtasiye19,8,3.5264,0.023739,0.011144,0.123277,0.000769,0.001402,oyuncak_hobi,"oyuncak_hobi,ev_yasam",nano,74.0,3.0,0.0
ahmetbulentcanli,51,23.1774,0.151335,0.00031,0.155891,0.058754,0.003538,egitim_kariyer,egitim_kariyer,nano,95.0,2.08,0.0
akash_singha_12,14,5.25,0.041543,0.0,0.094637,0.000363,0.001607,finans_is,"finans_is,seyahat_gezi",nano,2458.0,233.75,59.58
alexadcloset,11,4.875,0.032641,0.0,0.103031,0.000522,0.001482,guzellik_kozmetik,guzellik_kozmetik,micro,47802.0,4889.5,14.08
aliwahxz,20,12.4316,0.059347,0.002511,0.124764,0.001575,0.003242,finans_is,finans_is,nano,4004.0,278.5,40.0
alphonse_the_british,56,28.0759,0.166172,0.000326,0.165147,0.098533,0.004075,evcil_hayvan,"evcil_hayvan,egitim_kariyer",nano,5.0,4.25,0.0
altintaskirtasiye,8,3.5,0.023739,0.000586,0.122402,0.000759,0.001395,ev_yasam,"ev_yasam,oyuncak_hobi",nano,1090.0,94.73,0.36
ana_fikirler,50,25.1785,0.148368,0.000274,0.160915,0.099757,0.003677,evcil_hayvan,evcil_hayvan,nano,1118.0,41.08,25.0
ankmedipolybs,15,7.5396,0.04451,0.015714,0.125916,0.000289,0.002981,teknoloji,teknoloji,nano,587.0,35.83,1.42
ankurdwrh,7,3.1119,0.020772,0.011047,0.119324,0.000259,0.001422,fitness_saglik,"fitness_saglik,moda_yasam,seyahat_gezi",nano,1601.0,98.42,11.75
annelikruhumda_,44,23.1633,0.130564,4.1e-05,0.15845,0.055916,0.00367,anne_bebek,anne_bebek,micro,83207.0,39789.42,319.67
anneolmayolunda,44,23.2949,0.130564,0.001878,0.159236,0.056311,0.003687,anne_bebek,anne_bebek,nano,18.0,1.92,0.0
annevebebek2025,61,29.0469,0.181009,0.010112,0.16941,0.086188,0.004368,anne_bebek,"anne_bebek,evcil_hayvan",micro,12059.0,3768.33,27.25
anodos.patra,27,12.75,0.080119,0.008,0.12741,0.020957,0.002228,egitim_kariyer,"egitim_kariyer,ev_yasam,teknoloji",nano,289.0,26.83,0.17
apogeewp1,20,12.4049,0.059347,0.000418,0.124981,0.001602,0.003234,finans_is,finans_is,nano,55.0,18.17,0.0
areh.studies,27,12.9642,0.080119,0.003139,0.125381,0.021263,0.002394,egitim_kariyer,"egitim_kariyer,ev_yasam,kitap_kultur",nano,107.0,14.0,0.75
aslankidss_,23,10.1209,0.068249,0.001284,0.136596,0.009649,0.002193,moda_yasam,"moda_yasam,anne_bebek,taki_aksesuar",nano,74.0,15.25,0.0
asliglbaz,50,20.5254,0.148368,0.033481,0.14179,0.075281,0.00323,anne_bebek,"anne_bebek,yemek_mutfak",nano,417.0,110.0,10.17
asralfotografcilik,50,21.4562,0.148368,0.024471,0.164301,0.040411,0.003723,otomotiv,"otomotiv,evcil_hayvan,anne_bebek",nano,4276.0,90.0,3.75
assets.and.interests,20,12.4608,0.059347,0.011739,0.125593,0.001652,0.003246,finans_is,finans_is,nano,10.0,2.75,0.12
